CVEGEO,NOM_ENT,NOMGEO,pobTptal_2020
"01001",Aguascalientes,Aguascalientes,948990
"01002",Aguascalientes,Asientos,51536
"01003",Aguascalientes,Calvillo,58250
"01004",Aguascalientes,Cosío,17000
"01005",Aguascalientes,Jesús María,129929
"01006",Aguascalientes,Pabellón de Arteaga,47646
"01007",Aguascalientes,Rincón de Romos,57369
"01008",Aguascalientes,San José de Gracia,9552
"01009",Aguascalientes,Tepezalá,22485
"01010",Aguascalientes,El Llano,20853
"01011",Aguascalientes,San Francisco de los Romo,61997
"02001",Baja California,Ensenada,443807
"02002",Baja California,Mexicali,1049792
"02003",Baja California,Tecate,108440
"02004",Baja California,Tijuana,1922523
"02005",Baja California,Playas de Rosarito,126890
"02006",Baja California,San Quintín,117568
"03001",Baja California Sur,Comondú,73021
"03002",Baja California Sur,Mulegé,64022
"03003",Baja California Sur,La Paz,292241
"03008",Baja California Sur,Los Cabos,351111
"03009",Baja California Sur,Loreto,18052
"04001",Campeche,Calkiní,59232
"04002",Campeche,Campeche,294077
"04003",Campeche,Carmen,248845
"04004",Campeche,Champotón,78170
"04005",Campeche,Hecelchakán,31917
"04006",Campeche,Hopelchén,42140
"04007",Campeche,Palizada,8683
"04008",Campeche,Tenabo,11452
"04009",Campeche,Escárcega,59923
"04010",Campeche,Calakmul,31714
"04011",Campeche,Candelaria,46913
"04012",Campeche,Seybaplaya,15297
"05001",Coahuila de Zaragoza,Abasolo,1022
"05002",Coahuila de Zaragoza,Acuña,163058
"05003",Coahuila de Zaragoza,Allende,23056
"05004",Coahuila de Zaragoza,Arteaga,29578
"05005",Coahuila de Zaragoza,Candela,1643
"05006",Coahuila de Zaragoza,Castaños,29128
"05019",Coahuila de Zaragoza,Morelos,7928
"05020",Coahuila de Zaragoza,Múzquiz,71627
"05007",Coahuila de Zaragoza,Cuatro Ciénegas,12715
"05008",Coahuila de Zaragoza,Escobedo,3047
"05009",Coahuila de Zaragoza,Francisco I. Madero,59035
"05021",Coahuila de Zaragoza,Nadadores,6539
"05010",Coahuila de Zaragoza,Frontera,82409
"05011",Coahuila de Zaragoza,General Cepeda,11898
"05012",Coahuila de Zaragoza,Guerrero,1643
"05029",Coahuila de Zaragoza,Sacramento,2471
"05030",Coahuila de Zaragoza,Saltillo,879958
"05031",Coahuila de Zaragoza,San Buenaventura,24759
"05032",Coahuila de Zaragoza,San Juan de Sabinas,42260
"05033",Coahuila de Zaragoza,San Pedro,101041
"05013",Coahuila de Zaragoza,Hidalgo,1735
"05014",Coahuila de Zaragoza,Jiménez,9502
"05015",Coahuila de Zaragoza,Juárez,1584
"05016",Coahuila de Zaragoza,Lamadrid,1764
"05017",Coahuila de Zaragoza,Matamoros,118337
"05018",Coahuila de Zaragoza,Monclova,237951
"05022",Coahuila de Zaragoza,Nava,33129
"05023",Coahuila de Zaragoza,Ocampo,9642
"05024",Coahuila de Zaragoza,Parras,44472
"05025",Coahuila de Zaragoza,Piedras Negras,176327
"05026",Coahuila de Zaragoza,Progreso,3239
"05027",Coahuila de Zaragoza,Ramos Arizpe,122243
"05028",Coahuila de Zaragoza,Sabinas,64811
"05034",Coahuila de Zaragoza,Sierra Mojada,6744
"05035",Coahuila de Zaragoza,Torreón,720848
"05036",Coahuila de Zaragoza,Viesca,20305
"05037",Coahuila de Zaragoza,Villa Unión,6188
"05038",Coahuila de Zaragoza,Zaragoza,13135
"06001",Colima,Armería,27626
"06002",Colima,Colima,157048
"06003",Colima,Comala,21661
"06004",Colima,Coquimatlán,20837
"06005",Colima,Cuauhtémoc,31267
"06006",Colima,Ixtlahuacán,5623
"06007",Colima,Manzanillo,191031
"06008",Colima,Minatitlán,10231
"06009",Colima,Tecomán,116305
"06010",Colima,Villa de Álvarez,149762
"07001",Chiapas,Acacoyagua,17994
"07002",Chiapas,Acala,21187
"07003",Chiapas,Acapetahua,26899
"07004",Chiapas,Altamirano,36160
"07005",Chiapas,Amatán,24512
"07006",Chiapas,Amatenango de la Frontera,31735
"07007",Chiapas,Amatenango del Valle,11283
"07008",Chiapas,Ángel Albino Corzo,31947
"07009",Chiapas,Arriaga,41135
"07010",Chiapas,Bejucal de Ocampo,7365
"07068",Chiapas,Pichucalco,31919
"07069",Chiapas,Pijijiapan,51193
"07011",Chiapas,Bella Vista,20157
"07012",Chiapas,Berriozábal,64632
"07013",Chiapas,Bochil,37263
"07014",Chiapas,El Bosque,24273
"07015",Chiapas,Cacahoatán,50112
"07016",Chiapas,Catazajá,17619
"07017",Chiapas,Cintalapa,88106
"07018",Chiapas,Coapilla,9900
"07019",Chiapas,Comitán de Domínguez,166178
"07020",Chiapas,La Concordia,49920
"07021",Chiapas,Copainalá,22192
"07022",Chiapas,Chalchihuitán,21915
"07023",Chiapas,Chamula,101967
"07024",Chiapas,Chanal,13678
"07025",Chiapas,Chapultenango,7472
"07026",Chiapas,Chenalhó,47371
"07027",Chiapas,Chiapa de Corzo,112075
"07028",Chiapas,Chiapilla,6156
"07029",Chiapas,Chicoasén,5402
"07030",Chiapas,Chicomuselo,36785
"07031",Chiapas,Chilón,137262
"07032",Chiapas,Escuintla,30896
"07033",Chiapas,Francisco León,7245
"07034",Chiapas,Frontera Comalapa,80897
"07035",Chiapas,Frontera Hidalgo,14556
"07036",Chiapas,La Grandeza,7701
"07037",Chiapas,Huehuetán,36333
"07038",Chiapas,Huixtán,22975
"07039",Chiapas,Huitiupán,27893
